text,spam
"Subject: Urgent: Your account will be suspended
Dear customer, we detected unusual activity on your account. Click http://secure-login-verify-now.com immediately to verify your identity within 24 hours or your account will be permanently locked. Do not ignore this message.",1
"Subject: You've won $1,000,000!!!
CONGRATULATIONS!!! You have been selected as the lucky winner of our international lottery. To claim your prize of ONE MILLION DOLLARS please reply with your full name, bank account number, and social security number. Act now before this offer expires!",1
"Subject: Claim your free crypto reward
You have been airdropped 2.5 BTC. Connect your wallet at http://free-btc-claim.xyz within 12 hours to unlock funds. Limited spots remaining. This is not a scam, claim NOW!!!",1
"Subject: Inheritance transfer from late relative
Dear Sir/Madam, I am a banker in Nigeria. A deceased client left $15,500,000 USD with no next of kin. I need a foreign partner to transfer the funds. You will receive 40%. Send your bank details and a copy of your passport urgently.",1
"Subject: Your package could not be delivered
FedEx: We attempted delivery but the address was incomplete. Pay a $1.99 customs fee here: http://fedex-delivery-fee.online to reschedule. Failure to pay within 48 hours will result in return to sender.",1
"Subject: IRS TAX REFUND PENDING
The Internal Revenue Service has calculated a tax refund of $2,847.19 for you. Confirm your banking information at http://irs-refund-portal.com to receive payment. Ignoring this notice may result in forfeiture of your refund.",1
"Subject: Hot singles in your area want to meet tonight
Click here to see who viewed your profile nearby. No credit card needed for the first week. Adults only. Unsubscribe below if you are not interested in local dating tonight!!!",1
"Subject: Double your money in 24 hours guaranteed
Exclusive investment opportunity. Send $500 in Bitcoin and we will return $1,000 within 24 hours. 100% risk free. Thousands of happy investors. Reply CRYPTO to get started immediately.",1
"Subject: Your Netflix payment failed
We could not process your last payment. Update your billing information now to avoid service interruption: http://netflix-billing-update.ru Enter your card details to continue watching.",1
"Subject: CEO urgent wire transfer request
Hi, I'm traveling and need you to wire $8,450 to a vendor ASAP. This is confidential — do not discuss with anyone. Reply for the account details. I need this done before end of day. Thanks, the CEO.",1
"Subject: Reset your password immediately
We noticed a login from a new device in Russia. If this wasn't you, reset your password here: http://account-security-alert.tk Your access will be blocked in 2 hours if you do not confirm.",1
"Subject: Make $500/day working from home
No experience required!!! Start earning today with our proven system. Limited time offer — join thousands who quit their jobs. Click to claim your starter kit for only $49.99. Act fast!!!",1
"Subject: Pharmacy discount — Viagra 80% off
Cheap meds shipped discreetly worldwide. No prescription needed. Order today and get free overnight shipping. Best prices guaranteed. Visit our online pharmacy now before stock runs out.",1
"Subject: Your Apple ID has been locked
Suspicious activity detected on your Apple ID. Unlock immediately by verifying your information at http://appleid-unlock-secure.com or your iCloud data will be deleted within 24 hours.",1
"Subject: Congratulations on your selected prize
You have been chosen to receive a free iPhone 16 Pro. Pay only shipping ($4.99) at http://free-iphone-promo.biz Enter your address and card for shipping. Offer ends tonight!",1
"Subject: Action required: unusual sign-in activity
We locked your Microsoft account after a sign-in from Ukraine. Verify now at http://microsoft-security-check.online or we will permanently disable the account.",1
"Subject: Your PayPal account has been limited
PayPal: We limited your account due to suspicious withdrawals. Restore access by confirming your identity here: http://paypal-secure-verify.net Enter SSN and card number to continue.",1
"Subject: DHL shipment held at customs
Your DHL package is on hold. Pay import duty of $2.49 via http://dhl-customs-pay.info within 24 hours or the item will be destroyed.",1
"Subject: Cryptocurrency giveaway from Elon Musk
Elon Musk is giving away Bitcoin to the first 1000 people. Send 0.1 BTC to the address below and receive 1 BTC back. Verified giveaway. Act fast!",1
"Subject: Final notice - unpaid invoice #88421
Your unpaid invoice of $3,290 is overdue. Pay immediately at http://invoice-pay-now.biz to avoid legal action and credit damage.",1
"Subject: Verify your wallet seed phrase
Your crypto wallet needs verification. Enter your 12-word recovery phrase at http://wallet-sync-secure.com to prevent fund loss. Urgent security update.",1
"Subject: You have 1 new voicemail
You missed a call. Listen to your voicemail online: http://vm-listen-now.tk Enter your phone number and PIN to access messages.",1
"Subject: Bank fraud alert - confirm transaction
We blocked a $2,450 purchase in Mexico. If this was not you, confirm here immediately: http://chase-fraud-alert.ru Failure to respond will release the payment.",1
"Subject: Exclusive adult content membership free trial
Watch premium adult videos free for 7 days. Enter card for verification only at http://adult-free-trial.xxx Cancel anytime. Unlimited access tonight!",1
"Subject: Your domain expires today
Critical: yourdomain.com expires in 12 hours. Renew now at http://domain-renewal-alert.com or lose ownership permanently. Credit card required.",1
"Subject: Government grant approved
You qualify for a $7,500 government relief grant. Claim at http://gov-grant-claim.org Provide banking details for direct deposit within 48 hours.",1
"Subject: LinkedIn security alert
Someone tried to access your LinkedIn from China. Secure your account: http://linkedin-secure-login.net Enter password to confirm it was not you.",1
"Subject: Weight loss miracle - lose 30 lbs this week
Doctor-approved fat burner. No diet or exercise. Order now and get 3 bottles free shipping. Limited stock at http://miracle-fatburn.shop",1
"Subject: Your Amazon order cannot be shipped
Problem with order #112-998877. Update payment method here: http://amazon-order-fix.ru or the order will be cancelled and refund delayed.",1
"Subject: Remittance assistance needed - confidential
I am a diplomat with stranded funds. Help me move $28 million and keep 30%. Totally legal. Reply with your bank SWIFT and account number today.",1
"Subject: Meeting notes from today's standup
Hey team, here are the notes from standup. Please review the action items before tomorrow's sprint planning. Thanks!",0
"Subject: Your receipt from Uber
Thanks for riding. Total $18.40. Pickup at Main St. This email confirms your trip. View receipt in the Uber app.",0
"Subject: Project update — Q3 roadmap
Attached is the draft roadmap. Can you look over sections 2 and 3 and send comments by Friday?",0
"Subject: Dinner tomorrow?
Want to grab dinner tomorrow around 7? That new place on 5th looks good. Let me know!",0
"Subject: Password reset requested
You requested a password reset for your account. If this was you, use the official app or website to continue. If not, you can ignore this email.",0
